,Price,year,month,day
735,2.1999999999999997,1999,12,9
736,2.27,1999,12,10
737,2.3500000000000005,1999,12,13
738,2.49,1999,12,14
739,2.54,1999,12,15
740,2.520000000000001,1999,12,16
741,2.5500000000000003,1999,12,17
742,2.670000000000001,1999,12,20
743,2.589999999999999,1999,12,21
744,2.4499999999999993,1999,12,22
745,2.420000000000001,1999,12,23
746,2.3600000000000017,1999,12,27
747,2.32,1999,12,28
748,2.34,1999,12,29
749,2.299999999999999,1999,12,30
750,2.16,2000,1,4
751,2.1699999999999995,2000,1,5
752,2.1799999999999997,2000,1,6
753,2.19,2000,1,7
754,2.1999999999999997,2000,1,10
755,2.230000000000001,2000,1,11
756,2.25,2000,1,12
757,2.2899999999999996,2000,1,13
758,2.2799999999999994,2000,1,14
759,2.3500000000000005,2000,1,18
760,2.3999999999999986,2000,1,19
761,2.5299999999999994,2000,1,20
762,2.5500000000000003,2000,1,21
763,2.5500000000000003,2000,1,24
764,2.659999999999999,2000,1,25
765,2.7300000000000013,2000,1,26
766,2.7599999999999993,2000,1,27
767,2.84,2000,1,28
768,2.689999999999999,2000,1,31
769,2.8100000000000005,2000,2,1
770,2.9099999999999997,2000,2,2
771,2.849999999999999,2000,2,3
772,2.7800000000000002,2000,2,4
773,2.8100000000000005,2000,2,7
774,2.599999999999999,2000,2,8
775,2.619999999999999,2000,2,9
776,2.6499999999999986,2000,2,10
777,2.6499999999999986,2000,2,11
778,2.610000000000001,2000,2,14
779,2.610000000000001,2000,2,15
780,2.6499999999999986,2000,2,16
781,2.659999999999999,2000,2,17
782,2.6499999999999986,2000,2,18
783,2.5500000000000003,2000,2,22
784,2.5,2000,2,23
785,2.520000000000001,2000,2,24
786,2.51,2000,2,25
787,2.599999999999999,2000,2,28
788,2.6499999999999986,2000,2,29
789,2.71,2000,3,1
790,2.7999999999999994,2000,3,2
791,2.7199999999999993,2000,3,3
792,2.7599999999999993,2000,3,6
793,2.7800000000000002,2000,3,7
794,2.7399999999999998,2000,3,8
795,2.689999999999999,2000,3,9
796,2.7900000000000005,2000,3,13
797,2.829999999999999,2000,3,14
798,2.7599999999999993,2000,3,15
799,2.84,2000,3,16
800,2.8100000000000005,2000,3,17
801,2.7300000000000013,2000,3,20
802,2.7399999999999998,2000,3,21
803,2.7800000000000002,2000,3,22
804,2.7599999999999993,2000,3,23
805,2.8200000000000016,2000,3,24
806,2.8200000000000016,2000,3,27
807,2.9400000000000013,2000,3,28
808,2.9199999999999995,2000,3,29
809,2.829999999999999,2000,3,30
810,2.88,2000,3,31
811,2.9199999999999995,2000,4,3
812,2.8700000000000006,2000,4,4
813,2.8600000000000008,2000,4,5
814,2.979999999999999,2000,4,6
815,2.9899999999999998,2000,4,7
816,2.9700000000000006,2000,4,10
817,2.979999999999999,2000,4,11
818,3.0500000000000003,2000,4,12
819,3.0500000000000003,2000,4,13
